Author,ID,PubDate,elecyear,conflict,Source,Service,letter_ed,online_only,AuthSex,Title,Thesis,AuthRank,Topic,Leg_Act,Crit_Insub,Issue_Area,Endorse_Partisan,Role,Details,Inst_Cred_Gallup,Congress,congress_yr,party.mean.diff.d1.house,party.mean.diff.d1.senate,dem_diff_aff,rep_diff_aff,aff_polar_alt,House_Dem_mean_nom1,House_Dem_sd_nom1,House_Rep_mean_nom1,House_Rep_sd_nom1,Sen_Dem_mean_nom1,Sen_Dem_sd_nom1,Sen_Rep_mean_nom1,Sen_Rep_sd_nom1,House_Dem_mean_nom2,House_Dem_sd_nom2,House_Rep_mean_nom2,House_Rep_sd_nom2,Sen_Dem_mean_nom2,Sen_Dem_sd_nom2,Sen_Rep_mean_nom2,Sen_Rep_sd_nom2
"Alison, John",1,1979-07-27,0,0,WaPO,Air Force,,,M,Distinguished Service,"Gen. John Lavelle may have made mistakes, but these were in the interest of saving American lives in a hopeless war in which Americans were constrained by arbitrary rules while fighting an enemy that knew no rules.",8,Support,,,,,,,54,96,1979,0.596024801,0.589498553,20.1513,24.25353,39.9,-0.301306,0.18516581,0.2947019,0.16893241,-0.3128983,0.11667486,0.2766341,0.18765324,0.109729537,0.4557235,-0.178627329,0.3112562,0.262152542,0.4513966,-0.39497561,0.3899578
"Taylor, Maxwell",1,1979-08-17,0,0,WaPO,Army,,,M,SALT II: The Numbers Fallacy,"Thus, it is clear that US forces, to match Soviet destructive capabilities, would need a considerable superiority in numbers of weapons to compensate for these disadvantages…accordingly, parity based on numbers alone is revealed as a dangerous fallacy, one which entails serious consequences. ",10,Warfighting,,,,,,,54,96,1979,0.596024801,0.589498553,20.1513,24.25353,39.9,-0.301306,0.18516581,0.2947019,0.16893241,-0.3128983,0.11667486,0.2766341,0.18765324,0.109729537,0.4557235,-0.178627329,0.3112562,0.262152542,0.4513966,-0.39497561,0.3899578
"Westmoreland, William",1,1979-09-22,0,0,NYT,Army,,,M,"Reject SALT, but Seek Genuine Nuclear Disarmament",Americans should be concerned about what action the Government will take to offset the Soviet Union's large-scale military build up in both nuclear and conventional forces. ,10,Warfighting,1,,,,,Westmoreland recommends the Senate reject SALT II. ,54,96,1979,0.596024801,0.589498553,20.1513,24.25353,39.9,-0.301306,0.18516581,0.2947019,0.16893241,-0.3128983,0.11667486,0.2766341,0.18765324,0.109729537,0.4557235,-0.178627329,0.3112562,0.262152542,0.4513966,-0.39497561,0.3899578
"Westmoreland, William",1,1981-05-26,0,0,WSJ,Army,,,M,US Military Readiness Requires the Draft,"The Reagan Administration wants to enhance military readiness, but the current manpower concept will not, in my opinion, do the job. ",10,SocialPolicy,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
"Enemark, W.A.",1,1981-09-02,0,0,WSJ,Army,1,,M,Keep the Cape of Good Hope Secure,"If the US is to survive, it must base its foreign policy on a pragmatic assessment of its strategic requirements in terms of geography and supplies and not on human rights and partisan politics. ",8,ForeignPolicy,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
"Turner, Stansfield",1,1981-09-15,0,0,NYT,Navy,,,M,Why Stop at a Triad?,"The argument that the United States must preserve its triad of strategic nuclear forces is bogus. It is bogus because it only concerns what weapons we possess, not what they must achieve. The real issues are, what is the objective of the triad, and does it take  a mix of three strategic weapons systems to achieve it?",10,Warfighting,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
"Turner, Stansfield",1,1981-12-02,0,0,NYT,Navy,,,M,The Zero Option,"In sum, President Reagan's proposal has merit but also risk. For it to work, we must hold to it and press our advantage no matter how loudly the Soviet Union screams or our allies urge compromise. ",10,ForeignPolicy,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
"Stockdale, James",1,1982-04-16,0,0,WSJ,Navy,,,M,Dignity and Honor in Vietnam,"Eight years in a Hanoi Prison, survival, and prison.  What does it all come down to?...It comes down to personal honor. ",9,BdgtWpnsTrps,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
"Moorer, Thomas",1,1982-06-16,0,0,WSJ,Navy ,1,,M,Lessons of the South Atlantic War,…the problem with this concept is that seaborne airpower in small ships is simply incapable of performing well in today's technological environment…,10,BdgtWpnsTrps,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
"Miller, George",1,1982-06-16,0,0,WSJ,Navy ,1,,M,Lessons of the South Atlantic War,"Unfortunately, even if the US were to begin an emergency shipbuildingprogram today - a move not even contemplated by present officials - ten years would elapse before the US would have enough ships to cope with a major land war threat overseas. ",8,BdgtWpnsTrps,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629,48.81,-0.3003644,0.19336378,0.3064541,0.16577691,-0.2993478,0.1101448,0.3102222,0.17697294,0.092352227,0.4582275,-0.198867347,0.3021659,0.260586957,0.4706448,-0.317388889,0.4090534
