Author,RetYr,ID,PubDate,MID,elecyear,conflict,Source,Service,letter_ed,online_only,AuthSex,Title,Thesis,Text,AuthRank,Topic,Leg_Act,Crit_Insub,Issue_Area,Endorse_Partisan,Role,Details,Inst_Cred_Gallup,Congress,congress_yr,party.mean.diff.d1.house,party.mean.diff.d1.senate,dem_diff_aff,rep_diff_aff
"Alison, John",1972,1,1979-07-27,0,0,0,WaPO,Air Force,,,M,Distinguished Service,"Gen. John Lavelle may have made mistakes, but these were in the interest of saving American lives in a hopeless war in which Americans were constrained by arbitrary rules while fighting an enemy that knew no rules.","I was with Gen. John Lavelle when he died.
On July 11, The Post reported Gen. Lavelle's death with a brief summary of his career. Most of the report covered
his relief from command, reduction in rank, and retirement from the Air Force for directing a series of unauthorized
missions against targets in North Vietnam. With the passage of time, although facts remain the same, perspectives
become clearer. It was disappointing that The Post did not think this worthy of comment.
If the Vietnam War was difficult for americans, it was horrible for our Vietnamese allies. Policy direction came from
an American government that literally did not know what it was doing. At the height of our discontent, one
commentator, when asked about our policy in Vietnam, paused, then replied, ""Well, it isn't to win and it isn't to lose;
so it must be to stay there and kill people."" It makes little difference that this was not our policy, for this is what we
did for almost 10 years before physically and diplomatically retreating and leaving our allies to the tender mercies of
an invading Communist army.
Thousands of Americans lost their lives. As far as I know, this was the first war in which the flexibility of
commanders to take action to save lives was severely curtailed. Jack Lavelle believed that there was an immediate
North Vietnamese threat to Americans under his command, and he believed that he had tacit approval to respond
to that threat. There was substantial evidence that the threat was real, but no evidence other than Lavelle's
statement that he had approval to neutralize the threat.
Gen. John Lavelle may have made mistakes, but these were made in the interest of saying American lives in a
hopeless war in which Americans were constrained by arbitrary rules while fighting an enemy that knew no rules. In
history's judgment, his mistakes will seem small when measured against the intellectual mistakes of a civilian
leadership, which committed this nation to a catastrophic course and lacked the wisdom to change that course.
Jack Lavelle wrote no books, made no speeches, bore no animosity toward a country and an Air Force he loved.
He was a professional military man who served his country with a distinction not described in his obituaries.",8,Support,,,,,,,54,96,1979,0.596024801,0.589498553,20.1513,24.25353
"Taylor, Maxwell",1964,1,1979-08-17,0,0,0,WaPO,Army,,,M,SALT II: The Numbers Fallacy,"Thus, it is clear that US forces, to match Soviet destructive capabilities, would need a considerable superiority in numbers of weapons to compensate for these disadvantages…accordingly, parity based on numbers alone is revealed as a dangerous fallacy, one which entails serious consequences. ","In the course of forming an opinion of the merits of SALT II, I have been impressed by the damage to its case
resulting from a fallacious assumption. It is that parity in strategic forces can be achieved through rough
equivalence of numbers of strategic weapons, or, more accurately, strategic launchers. If it can be shown that this
assumption is incorrect and that equality in numbers does not assure ""equivalent overall military capabilities"" -- a
requirement set by the administration for an acceptable arms-control agreement -- the case for SALT is in serious
trouble.
A mere count of strategic weapons is wholly inadequate to measure the relative effectivenss of opposing forces.
The only military capability possessed by such weapons is the ability to destroy hostile target on order, and hence,
the only meaningful measure of their value is their target destruction potential. The latter derives not only from
numbers of weapons but also from such things as the accuracy, reliability and throwweight of weapons, their
survivability under attack and the number and nature of the targets they must destroy.
Analytic studies of the relative losses that would be suffered by U.S. and Soviet forces in a major strategic
exchange usually indicate that the U.S. side would be at a serious disadvantage. This is because we must assume
that a nuclear exchange would be initiated by a Soviet first strike, probably directed at our exposed ICBMs. In this
case, we would have to expect to lose a large part of these weapons, perhaps up to 80 percent or more at the
height of the Soviet destructive capabilities in the 1980s. Moreover, if we wished to retaliate against their unfired
ICBMs, we would be uncertain which missiles had been launched and which remained in silos ready for a second
salvo. To do maximum damage to the remainder, we would have to fire upon all known silos and, in so doing,
waste many American weapons on empty holes.
Similarly, if our retaliation extended to urban-industrial targets, we would need to expend many more weapons than
the Soviets to achieve equivalent damage on similar targets. This is because the larger number and greater
dispersion of such targets in the Soviet Union and the better protection afforded them by Soviet air and civil defense
measures.
Thus, it is clear that U.S. forces, to match Soviet destructive capabilities, would need a considerable superiority in
numbers of weapons to compensate for these disadvantages. Since SALT II obviously contains no such
compensations, it cannot rightfull claim to establish essential equivalence in the preeminent measure of strategic
power: target destruction potential. Accordingly, parity based on numbers alone is revealed as a dangerous fallacy,
one which entails serious consequences.
Since the treaty purports to establish parity in military capabilities yet does not, its ratification would mislead our
country and its allies as to the true balance of forces resulting from it -- a misapprehension unlikely to be shared by
Soviet leaders, who are openly delighted with its text in the present form.
Page 2 of 3
SALT II: The Numbers Fallacy
Further, ratification would validate and perpetuate the numbers fallacy for all future arms control treaties since we
would find it hard to reject at a later date or to persuade the Soviets to abandon a standard that they must perceive
as advantageous.
Finally, since our government following ratification would be expected henceforth to follow a military policy
consistent with the treaty, in logic our strategic programs would be designed to catch up and keep up with our
Soviet rivals in the strategic field in every way permitted by its terms. We could expect such programs to include
not only an MX missile to match the best of the Soviet ICBMs but also probably a new bomber to offset the Backfire
along with plans for expanded air and civil defense. All this would cost a great deal of money that, in times of
economic stringency like the present, would be raised largely at the expense of our under-strength non-nuclear
forces. The result could be a serious imbalance of force structure to the detriment of highly important tasks
involving the support of allies, the protection of sea lanes and the assurance of access and undisturbed trade with
essential overseas sources of oil and other important raw materials.
Such are a few of the possible consequences of the numbers fallacy. As long as it is the accepted formula for
determining military needs in the strategic field, we shall be condemned to a mindless numbers race whether or not
SALT is ratified. Only if we insist on basing our weapons requirements on the need to perform tasks of
unchallenged importance to our security -- in most cases the destruction of certain designated target systems -- can
we know with reasonable certainty what and how many weapons we really need either for deterrence or for
retaliation. As an added plus, a strategic policy so conceived would not depend on numbers decisions made in
Moscow.
Does the numbers fallacy with its consequences constitute a fatal weakness for SALT, one justifying its rejection?
Probably not, if the administration can translate the numbers of weapons permitted by the treaty into terms of
destruction potential and then produce convincing evidence of the adequacy of the latter against all majro Soviet
target systems under all likely conditions. I suspect that the adequacy probably exists, but the Senate and the
public are surely entitled to the evidence.",10,Warfighting,,,,,,,54,96,1979,0.596024801,0.589498553,20.1513,24.25353
"Westmoreland, William",1972,1,1979-09-22,0,0,0,NYT,Army,,,M,"Reject SALT, but Seek Genuine Nuclear Disarmament",Americans should be concerned about what action the Government will take to offset the Soviet Union's large-scale military build up in both nuclear and conventional forces. ,"Americans should be concerned about what action the Government will take to offset the Soviet Union's large‐scale military buildup in both nuclear and conventional forces. As I observe the SALT process, I conclude that the odds of providing for an adequate defense and encouraging international stability would be enhanced by rejection of SALT II and its protocol. At the same time, I suggest that we accelerate efforts toward achieving genuine nuclear disarmament. It is not the exclusion of the Soviet Backfire bomber or the problems of compliance verification that concern me. Nor am I deeply disturbed by some inequity in numbers. I am concerned about the principle that the Russians be allowed 308 SS‐18 heavymissile launchers as we are prohibited from developing a similar capability.. But my major concern is the restraint imposed by the treaty and particularly the protocol on the exploitation of our technology — an area where we have been pre‐eminent. Restraints on technology force us to follow a pattern that will probably not be the most economical way to provide a deterrent to nuclear war. Without the restrictions of the treaty and its protocol, a more effective and probably less‐expensive system could be developed by the use of the now‐restrained cruise‐missile technology, the development of mobile land‐based missiles, and the deployment of more launchers at sea. Future Federal budgets will be strained because of the energy crisis, likely persistent inflation, and the rising cost of our “welfare state.” So, inevitably, military budgets will be under extreme pressure. Therefore, a national strategy must be developed that will provide adequately for our defense and be prepared to protect our global interest at lowest cost. The current treaty will not satisfy that requirement. I doubt that our political system will have the wisdom and courage to resist the temptation to substitute SALT II for the cost of providing an adequate defense posture. Our political democracy will be more prone to react positively to global realities if not constrained by an agreement that is more cosmetic than constructive. Specifically, if SALT II is ratified, there will be, and should be, political pressures to go to the limit of the agreement. However, that may not provide a military capability consistent with the several threats to our future national well‐being. Thus, we could be competing in an arms race within boundaries controlled in considerable degree by an adversary. Full flexibility of action will be denied us. In this connection, the SALT process has admirably served the psychological programs of the Soviet Union by giving dramatic visibility worldwide to its military might. It should be obvious that there are military threats to our national interest that are more likely than nuclear war. There are large and well‐armed forces of the Warsaw Pact threatening the security of Western Europe and our interests there. Our most vulnerable area in the long run is the growing problem of raw materials to stoke our industrial society. Hence, the arena of potential conflict is global and the means of dealing with it involves conventional military forces — land, sea and air — coupled with skillful diplomatic action. The threat to our economic life is far more real than the threat of nuclear war or an attack against Western Europe; it is inevitable. SALT II establishes an overriding priority to forces that could have little influence on Soviet initiatives in areas of traditional interest to us. (Witness the most recent disclosure of Soviet troops in Cuba.) Therefore, in funding programs to reduce the risks of nuclear war, we must not neglect those forces that can influence a threat to our eco nomic well‐being forces that are flexible in their use and become visible to both friend and foe. An element of Soviet strategy, it seems, is to divert us from attending to that area. Before we can safely disarm, we must rearm. Before we dare negotiate further with the Soviet Union, we must put ourselves in a stronger military. Meanwhile, the Senate should reject SALT II and its protocol with a mandate to the Administration to reopen talks designed genuinely to reduce nuclear weapons on an equitable basis. Such an overture could not credibly stamp us war‐mongers. If the Soviet Union truly wants to decrease the possibility of nuclear war, it will accept such a proposal. If not, indeed its Government is to be viewed with even greater suspicion. Concurrently, the Senate should commit itself to sponsoring military programs focused on the several threats facing our nation. Finally, the Senate should set up a watchdog committee to monitor our military capability and report each year to the Administration and the public. Soviet leaders are using the bargaining table as a weapon against us. They have been playing games with our political democracy — and winning. Myopic, vote‐begging politicians have created for us a perplexing security problem. Only far‐sighted statesmen who put the national interest above all else can right the situation. The threat to our economic life is far more real than the threat of nuclear war or an attack against Western Europe; it is inevitable. SALT II establishes an overriding priority to forces that could have little influence on Soviet initiatives in areas of traditional interest to us. (Witness the most recent disclosure of Soviet troops in Cuba.) Therefore, in funding programs to reduce the risks of nuclear war, we must not neglect those forces that can influence a threat to our eco nomic well‐being forces that are flexible in their use and become visible to both friend and foe. An element of Soviet strategy, it seems, is to divert us from attending to that area. Before we can safely disarm, we must rearm. Before we dare negotiate further with the Soviet Union, we must put ourselves in a stronger military. Meanwhile, the Senate should reject SALT II and its protocol with a mandate to the Administration to reopen talks designed genuinely to reduce nuclear weapons on an equitable basis. Such an overture could not credibly stamp us war‐mongers. If the Soviet Union truly wants to decrease the possibility of nuclear war, it will accept such a proposal. If not, indeed its Government is to be viewed with even greater suspicion. Concurrently, the Senate should commit itself to sponsoring military programs focused on the several threats facing our nation. Finally, the Senate should set up a watchdog committee to monitor our military capability and report each year to the Administration and the public. Soviet leaders are using the bargaining table as a weapon against us. They have been playing games with our political democracy — and winning. Myopic, vote‐begging politicians have created for us a perplexing security problem. Only far‐sighted statesmen who put the national interest above all else can right the situation.",10,Warfighting,1,,,,,Westmoreland recommends the Senate reject SALT II. ,54,96,1979,0.596024801,0.589498553,20.1513,24.25353
"Westmoreland, William",1972,1,1981-05-26,0,0,0,WSJ,Army,,,M,US Military Readiness Requires the Draft,"The Reagan Administration wants to enhance military readiness, but the current manpower concept will not, in my opinion, do the job. ",Zotero PDF,10,SocialPolicy,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629
"Enemark, W.A.",1972,1,1981-09-02,0,0,0,WSJ,Army,1,,M,Keep the Cape of Good Hope Secure,"If the US is to survive, it must base its foreign policy on a pragmatic assessment of its strategic requirements in terms of geography and supplies and not on human rights and partisan politics. ",Zotero PDF,8,ForeignPolicy,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629
"Turner, Stansfield",1978,1,1981-09-15,0,0,0,NYT,Navy,,,M,Why Stop at a Triad?,"The argument that the United States must preserve its triad of strategic nuclear forces is bogus. It is bogus because it only concerns what weapons we possess, not what they must achieve. The real issues are, what is the objective of the triad, and does it take  a mix of three strategic weapons systems to achieve it?","The argument that the United States must preserve its triad of strategic nuclear forces is bogus. It is bogus because it only concerns what weapons we possess, not what they must achieve. The real issues are, What is the objective of the triad, and does it take a mix of three strategic-weapons systems to achieve it? How about two? Or maybe four?

The objective is to ensure that if one element of our strategic nuclear forces were made vulnerable, the others would be so able to retaliate that any enemy would be deterred from attacking.

The wisdom of having several strategic nuclear systems to back each other up is very evident. In fact, one of our three systems, the land-based Minuteman missile, today is theoretically vulnerable to a surprise attack. Although that vulnerability currently is being debated, it appears that the Soviet Union has so improved the accuracy of its numerous and large land-based missiles that conceivably they could knock out most of our Minutemen in a single, large-scale attack.

Some people are questioning whether this accuracy would actually prevail in combat. Regardless of whether it will or not, there is an aura of uncertainty about whether our land-based-missile forces are adequately secure. This means that the credibility of that leg of the triad is eroding.

It is fortunate that we have strategic bombers and strategic submarines to back up this weakening leg, but what if a counter should be developed to one or both of these alternatives?

The United States could be exposed to nuclear blackmail. However, the argument that because of such a possibility we should retain the land-based-missile leg of the triad defies logic.

How could an already vulnerable system make up for possible future vulnerabilities of bomber and submarine systems? Certainly more Minutemen would not be a useful backup for our bombers and submarines. The MX missile would be useful only if it is likely to be more survivable than either of these other systems in the future. Is that likely to be the case?

When the MX system was designed, it had 200 missiles scattered among 4,600 shelters. Some proponents of the MX contended that with that many points to aim at, it would not be vulnerable. I believe that was wishful thinking from the beginning. It certainly is today when the current estimate is that all the Administration will approve is 100 missiles in 1,000 shelters.

If the Soviet Union has the capability to knock out our 1,000 Minutemen this year or in 1982, surely by the time we could deploy the MX the Russians could also knock out an additional 1,000 shelters.

Thus, the public should be alert to the cry of ''preserve the triad'' as a justification for perpetuating the most obsolete part of the triad in the form of the MX.

Instead, let us remind ourselves of the basic objective: to retain an invul nerab le deterrent. If we don't feel as comfortable as we'd like with jus t bombers and submarines - and I don't - can we find something els e?

Yes. We can rebuild the triad with cruise missiles: on land-based mobile launchers, on surface ships, and in attack submarines, as well as in aircraft, as currently planned.

But why stop at a triad? We could also shrink the MX to a size that could be transported on a road, and thus have four legs rather than three.

Whether we need this fourth alternative is a function of the sense of assurance it gives us as measured against its cost. It can probably wait until we see whether the vulnerability of the other systems increases.

The point is, yes, we probably need at least a triad, but that is not synonomous with preserving a land-based-missile system that, in the form of either the Minuteman or MX, is too vulnerable to provide assurance that our defensive posture is sound.",10,Warfighting,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629
"Turner, Stansfield",1978,1,1981-12-02,0,0,0,NYT,Navy,,,M,The Zero Option,"In sum, President Reagan's proposal has merit but also risk. For it to work, we must hold to it and press our advantage no matter how loudly the Soviet Union screams or our allies urge compromise. ","President Reagan's announced ''zero option'' objective in the arms talks with the Soviet Union in
Geneva would, if realized, benefit the West, but it also would carry serious risks.
To comply in the negotiations on reducing theater weapons in Europe, which began Monday, the Russians would
have to dismantle three types of already deployed ballistic missiles -the SS-20, the SS-5, and the SS-4 - perhaps
600 in all. In exchange, the United States would cancel plans to deploy 572 new medium-range missiles in
Europe - Pershing 2's and cruise missiles.
One benefit would be to relieve our European allies of their fright caused by the build-up of nuclear weapons
threatening their territories. But this is a short-term benefit because the Europeans will soon realize that it is
largely illusory. Europe could also be hit by Soviet intercontinental-range ballistic missiles, shorterrange missiles
based in Eastern Europe, and bombers.
A more significant benefit from the successful reduction in tactical nuclear arsenals would be the impetus that it
might provide to seek a more comprehensive agreement to control all nuclear weapons.
But successful negotiation of the Reagan dismantling-andcancellation proposal - that is, the ''zero option'' - would
confer important advantages upon the Soviet Union.
America would be giving up a significant geographic advantage. Soviet theater nuclear weapons pose no physical
threat to the United States, yet any American ballistic missile in Europe threatens not just Soviet forces on a
battlefield on the Continent but also the heart of the Soviet Union's strategic forces: the large, land-based missiles
pointed at the United States. If agreement is not reached on the zero option, the Russians' strategic force will be
vulnerable and ours will not. Consequently, they badly want to negotiate away our geographic advantage.
Another problem is that the zero option would eliminate the United States' land-based cruise missiles in Europe at
a time when our dependence on such missiles is increasing.
In SALT II, we resisted Moscow's efforts to limit cruise missiles because we were - and still are - well ahead in this
technology, and because the cruise missile fits well into the land, sea, and air legs of our strategic nuclear triad.
This fit becomes more important as our confidence in the triad's ability to survive an attack erodes.
President Reagan's recent decision to deploy only half as many B-1 bombers and land-based MX missiles as
originally planned reflects an understanding that large, land-based missiles and manned bombers that can
penetrate Soviet airspace (except perhaps for the so-called Stealth bomber in a decade or so) have had their day.
While we still believe that the Soviet Union cannot find and hit our strategic-missile submarines, we cannot risk
relying on any single leg of the triad.
Consequently, the most significant part of Mr. Reagan's decision was to put cruise missiles into regular
submarines. This signaled not an increased reliance on submarines but a turning to the cruise missile to bolster
the sagging triad.
Cruise missiles can also be placed on land launchers in Europe, as currently planned, or on aircraft, on ships, and
on the soil of the 50 states.
Page 5 of 24 © 2020 Factiva, Inc. All rights reserved.
An agreement that eliminates land-based launchers in Europe forecloses only one cruise-missile option, but
unless we are careful it could also dangerously narrow our freedom to use this best substitute for the two dying
elements of the triad.
Therefore, we had better understand the benefits to be gained now and where we will hold the line on further
restrictions on cruise missiles.
We must also ensure that the zero option does not rule out nonnuclear cruise missiles, because we need them
more than the Soviet Union does.
Our military power is built around the use of tactical aircraft. Soviet superiority in tanks and artillery has always
been somewhat offset by our greater accuracy in bombing. But advances in Soviet weaponry are making such
use of aircraft very risky. Again, the best substitute is the cruise missile.
The principal missile the Russians would forsake, the SS-20, is small and mobile - it is about the size of a fire
department's hookand-ladder truck. Photographic verification techniques cannot ensure that it is not being hidden
in barns or caves. Thus, it is reasonable to demand on-site inspection, which, in any event, would be essential to
progress on all sorts of future arms-control agreements.
Finally, for verification purposes we must hold out for an all-ornothing elimination of the SS-20's, SS-5's, and
SS-4's. So long as retention of some of these missiles is authorized, we cannot confidently know exactly how
many are deployed. But the chance of uncovering a surreptitious deployment goes up markedly when none is
authorized. Then, the spotting of even one is evidence of a violation.
In sum, President Reagan's proposal has merit but also risk. For it to work, we must hold to it and press our
advantage no matter how loudly the Soviet Union screams or our allies urge compromise. Anything less would
not compensate for the longer-term disadvantages to this vital area of our national security.
--------------------------------------------------------------------- Adm. Stansfield Turner, retired, was Director of Central
Intelligence from March 1977 to last January.",10,ForeignPolicy,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629
"Stockdale, James",1979,1,1982-04-16,0,0,0,WSJ,Navy,,,M,Dignity and Honor in Vietnam,"Eight years in a Hanoi Prison, survival, and prison.  What does it all come down to?...It comes down to personal honor. ",Zotero PDF,9,BdgtWpnsTrps,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629
"Moorer, Thomas",1974,1,1982-06-16,0,0,0,WSJ,Navy ,1,,M,Lessons of the South Atlantic War,…the problem with this concept is that seaborne airpower in small ships is simply incapable of performing well in today's technological environment…,Zotero PDF,10,BdgtWpnsTrps,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629
"Miller, George",,1,1982-06-16,0,0,0,WSJ,Air Force,1,,M,Lessons of the South Atlantic War,"Unfortunately, even if the US were to begin an emergency shipbuildingprogram today - a move not even contemplated by present officials - ten years would elapse before the US would have enough ships to cope with a major land war threat overseas. ",Zotero PDF,8,BdgtWpnsTrps,,,,,,,50,97,1981,0.606865095,0.609582126,26.21428,24.9629
