Year,Congress,Military,house_polar_dim1,sen_polar_dim1
1979,34,54,0.596031012,0.589498553
1980,,,0.596031012,0.589498553
1981,29,50,0.606861047,0.609619163
1982,,,0.606861047,0.609619163
1983,28,53,0.627395232,0.608471542
1984,29,58,0.627395232,0.608471542
1985,39,61,0.643252854,0.619577226
1986,41,63,0.643252854,0.619577226
1987,,61,0.644665487,0.608211462
1988,35,58,0.644665487,0.608211462
1989,32,63,0.652693711,0.616232919
1990,24,68,0.652693711,0.616232919
1991,30,85,0.65896427,0.618763323
1992,18,69,0.65896427,0.618763323
1993,18,67,0.704330843,0.633681871
1994,18,64,0.704330843,0.633681871
1995,21,64,0.758241444,0.652466288
1996,20,66,0.758241444,0.652466288
1997,22,60,0.777304684,0.683925253
1998,28,64,0.777304684,0.683925253
1999,26,68,0.777104601,0.658365683
2000,24,64,0.777104601,0.658365683
2001,26,66,0.786664535,0.66316
2002,29,79,0.786664535,0.66316
2003,29,82,0.793046079,0.649781863
2004,30,75,0.793046079,0.649781863
2005,22,74,0.810052154,0.685840404
2006,19,73,0.810052154,0.685840404
2007,14,69,0.807673193,0.687187451
2008,12,71,0.807673193,0.687187451
2009,17,82,0.804607534,0.706393939
2010,11,76,0.804607534,0.706393939
2011,12,78,0.861355816,0.743617925
2012,13,75,0.861355816,0.743617925
2013,10,76,0.867575,0.79695042
2014,7,74,0.867575,0.79695042
2015,8,72,0.876275739,0.813066498
2016,9,73,0.876275739,0.813066498
2017,12,72,0.881215,0.825993182
2018,11,74,0.881215,0.825993182
2019,11,73,0.873306895,0.840708535
2020,13,72,0.873306895,0.840708535
2021,12,69,0.885720827,0.873177671
